Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
312.4,306.91,305.64,796.19,7.13,8.333333333333334
312.87,307.5,302.81,1112.09,19.32,8.333333333333334
311.85,318.83,305.04,1005.71,17.1,11.666666666666478
312.81,311.67,304.92,938.02,15.18,5.00000000000019
313.16,310.21,303.36,886.45,2.91,13.333333333333524
312.4,316.69,304.33,1166.89,17.94,13.333333333332575
311.74,335.96,302.28,912.23,3.29,15.000000000000568
312.72,287.49,305.74,850.99,16.64,5.00000000000019
313.61,302.86,302.6,967.03,1.23,11.666666666666478
312.0,324.06,305.57,1066.96,19.01,16.666666666666668
312.22,332.44,300.53,947.69,6.21,14.999999999999622
312.73,291.4,305.31,0.0,18.09,3.333333333333144
313.62,304.21,302.58,1073.41,0.08,10.00000000000038
312.26,321.44,305.83,1034.73,18.25,18.333333333333712
312.54,322.87,303.6,957.36,11.5,13.333333333332575
313.51,312.92,302.79,780.07,7.2,6.666666666667235
313.16,310.1,303.34,1099.19,1.15,8.333333333333334
312.12,317.28,304.92,1025.05,17.32,16.666666666666668
312.95,301.07,304.86,941.25,14.34,13.333333333333524
313.68,308.25,303.17,870.33,3.07,0.0
312.6,318.78,304.12,1131.43,18.24,18.333333333332767
312.25,333.63,303.28,928.35,13.18,15.000000000000568
313.02,286.9,305.59,834.87,19.01,1.6666666666660983
313.84,304.63,302.84,931.58,0.46,13.333333333333524
312.31,323.06,305.24,1147.55,17.86,16.666666666666668
312.4,338.41,301.29,941.25,9.89,11.666666666666478
313.28,286.76,304.76,799.41,18.17,3.333333333333144
313.98,303.4,302.37,1034.73,0.54,10.00000000000038
312.05,322.8,305.55,1092.75,17.17,19.99999999999981
312.81,331.38,302.01,950.92,15.41,11.666666666666478
313.22,307.81,305.28,767.18,3.45,6.666666666667235
313.63,307.07,303.18,1050.84,3.07,8.333333333333334
312.39,318.83,305.24,1021.83,14.8,16.666666666666668
313.2,313.36,304.05,580.22,17.32,18.333333333332767
313.58,311.92,303.14,448.06,0.69,3.3333333333340915
313.26,315.04,303.57,1057.29,17.79,9.999999999999432
312.77,327.5,304.48,931.58,10.5,13.333333333333524
313.36,292.89,304.82,925.13,17.09,3.333333333333144
314.11,305.61,303.14,828.42,0.31,13.333333333333524
312.79,320.4,304.79,1112.09,19.78,14.999999999999622
313.12,334.92,301.37,892.89,10.89,15.000000000000568
313.29,288.03,305.13,757.51,16.48,1.6666666666660983
314.6,302.72,302.6,928.35,1.23,15.000000000000568
312.33,322.84,305.35,1041.17,17.86,14.999999999999622
313.19,321.12,302.53,934.8,13.26,11.666666666666478
313.81,308.93,304.47,725.27,3.53,5.00000000000019
313.77,308.44,303.56,1057.29,1.76,11.666666666666478
312.54,325.33,304.76,992.82,14.57,15.000000000000568
313.57,302.04,304.5,844.54,18.55,14.999999999999622
314.37,307.7,303.45,812.31,0.92,8.333333333333334
312.93,320.08,304.98,1128.21,16.1,6.666666666667235
313.16,339.53,301.85,947.69,11.88,18.333333333332767
313.72,283.7,304.73,831.65,18.47,10.00000000000038
314.9,302.17,302.36,909.01,0.38,0.0
313.3,317.59,304.21,1121.76,16.48,18.333333333332767
312.78,337.54,303.4,860.66,9.05,11.666666666667425
313.85,285.9,304.75,809.08,16.1,4.999999999999242
314.84,301.26,302.58,1070.18,0.08,13.333333333333524
312.61,325.09,305.33,954.14,19.39,16.666666666666668
314.07,326.66,301.61,954.14,8.74,8.333333333333334
312.99,305.14,305.62,751.06,7.67,5.00000000000019
314.5,306.3,302.99,1118.53,0.38,14.999999999999622
312.76,319.09,304.57,941.25,18.4,18.333333333333712
313.76,302.29,304.12,844.54,11.65,8.333333333333334
314.75,308.31,303.32,905.79,5.6,5.00000000000019
313.32,319.83,304.33,1015.38,18.93,14.999999999999622
313.54,337.57,302.29,963.81,16.4,15.000000000000568
314.27,282.49,304.19,825.2,15.49,11.666666666666478
315.05,302.18,302.83,1050.84,3.14,3.333333333333144
312.58,324.62,305.43,957.36,19.32,16.666666666666668
314.32,325.94,302.53,902.56,1.53,3.333333333333144
313.64,305.48,305.03,725.27,19.24,11.666666666666478
314.61,306.59,303.06,1150.77,1.61,20.00000000000076
313.09,319.48,304.4,947.69,16.71,11.666666666666478
313.49,316.78,304.38,796.19,4.37,6.666666666666288
313.7,287.35,304.22,838.1,14.03,8.333333333333334
315.2,303.77,303.24,986.37,1.23,16.666666666666668
313.12,323.84,305.35,954.14,17.48,16.666666666666668
313.92,340.07,301.92,731.72,6.44,3.333333333333144
312.89,307.32,306.49,1057.29,12.95,11.666666666667425
315.43,303.83,302.47,954.14,15.64,14.999999999999622
313.07,320.88,304.95,838.1,20.01,13.333333333333524
314.39,304.14,303.65,773.63,5.06,5.00000000000019
314.98,311.02,303.92,1041.17,11.73,9.999999999999432
313.98,317.68,304.14,876.78,19.39,0.0
313.8,337.56,302.6,731.72,0.0,16.666666666666668
314.53,284.44,305.07,896.12,6.98,15.000000000000568
315.59,300.07,302.58,1021.83,9.74,11.666666666666478
312.95,326.01,305.2,847.77,19.7,19.99999999999981
314.79,317.58,302.6,757.51,0.0,5.00000000000019
315.23,311.95,304.05,1057.29,15.1,8.333333333333334
314.56,310.01,303.72,825.2,9.81,18.333333333332767
313.96,324.72,303.33,805.86,14.34,11.666666666667425
313.04,316.23,305.62,954.14,6.82,3.333333333333144
315.04,306.43,302.95,738.17,14.72,11.666666666666478
312.95,294.9,305.12,992.82,7.36,6.666666666666288
315.34,304.39,303.14,844.54,6.59,20.00000000000076
314.18,316.33,303.6,754.29,12.27,-1.6666666666670458
314.62,316.7,304.6,925.13,11.58,19.99999999999981
313.66,337.93,303.5,676.92,3.22,8.333333333333334
313.98,321.5,304.61,1057.29,20.16,13.333333333333524
314.59,350.7,302.36,547.99,26.6,11.666666666666478
313.54,319.5,304.39,1002.49,0.31,11.666666666666478
314.49,343.88,303.99,647.91,15.79,13.333333333333524
313.7,319.73,304.29,1008.94,11.58,8.333333333333334
315.21,341.35,302.5,680.15,0.23,15.000000000000568
313.61,320.65,304.43,1086.3,0.31,4.999999999999242
314.99,335.1,303.86,847.77,26.29,23.333333333333904
314.83,311.26,303.88,1076.63,-0.23,-1.6666666666670458
314.02,320.22,304.81,757.51,18.32,19.99999999999981
314.72,304.71,303.88,1066.96,3.68,0.0
315.1,313.1,304.15,644.69,18.86,25.0
314.64,310.66,303.73,1099.19,0.31,1.6666666666670458
314.4,319.38,304.72,763.96,21.39,14.999999999999622
315.58,284.22,303.03,796.19,0.15,1.6666666666670458
315.39,316.42,303.86,792.97,26.75,23.33333333333296
315.27,283.28,304.22,812.31,9.12,1.6666666666670458
315.65,305.81,303.4,892.89,14.18,16.666666666666668
315.22,273.89,304.56,754.29,0.46,1.6666666666670458
315.73,305.99,303.28,841.32,26.75,23.33333333333296
315.13,278.09,304.8,828.42,0.15,0.0
315.65,304.03,303.11,905.79,2.38,18.333333333333712
314.71,319.02,304.11,625.35,17.86,13.333333333332575
314.86,314.35,304.13,863.88,8.51,8.333333333333334
314.7,333.99,302.9,705.93,4.45,18.333333333333712
313.95,316.93,305.04,915.46,16.48,1.6666666666670458
315.67,304.39,303.23,763.96,12.65,16.666666666666668
313.97,304.92,304.68,918.68,0.54,0.0
316.09,306.02,303.33,857.44,22.0,21.66666666666591
315.93,285.27,303.51,889.67,0.23,-1.6666666666660983
315.77,309.05,303.76,325.57,26.75,23.33333333333296
314.63,296.63,305.07,899.34,7.82,-1.6666666666660983
315.81,309.71,303.62,741.39,20.39,28.333333333333144
315.34,312.64,304.04,1028.28,0.23,-1.6666666666670458
315.1,312.44,304.31,773.63,24.22,21.666666666666856
315.77,306.9,303.75,1002.49,0.0,-3.333333333333144
315.22,315.36,303.77,796.19,9.74,25.0
315.71,307.69,303.69,1066.96,0.31,-5.00000000000019
315.49,316.7,304.3,715.6,27.91,25.0
315.45,306.63,303.49,1092.75,0.08,-1.6666666666670458
315.42,320.49,304.6,734.95,20.55,25.0
315.52,305.02,303.25,1092.75,1.3,-1.6666666666660983
315.37,319.53,304.41,693.04,25.6,21.666666666666856
315.52,306.55,303.46,1118.53,0.23,3.333333333333144
315.13,319.54,304.49,696.26,25.76,23.33333333333296
315.82,306.87,303.37,1057.29,10.04,-1.6666666666660983
315.13,318.93,304.23,725.27,16.71,21.66666666666591
315.81,306.88,303.45,1073.41,0.31,3.3333333333340915
315.65,316.95,304.51,770.4,25.45,21.66666666666591
316.3,306.7,302.68,992.82,0.15,-1.6666666666660983
315.85,311.9,304.46,680.15,1.69,25.0
315.38,310.76,303.94,989.6,4.14,1.6666666666660983
315.87,311.98,304.17,828.42,18.32,20.00000000000076
315.65,290.05,302.79,828.42,0.31,-3.3333333333340915
315.92,310.89,303.73,696.26,31.51,28.33333333333409
315.65,312.53,304.13,1012.16,13.03,0.0
315.75,314.51,304.25,751.06,10.04,19.99999999999981
315.62,295.18,303.29,635.02,12.57,13.333333333333524
315.47,318.12,304.08,799.41,15.56,8.333333333333334
316.07,287.29,303.91,702.71,0.23,9.999999999999432
315.79,312.47,304.0,502.86,0.0,13.333333333333524
315.83,310.98,303.81,528.64,29.9,0.0
315.9,312.96,304.11,892.89,0.0,21.666666666666856
316.17,293.52,303.88,618.9,5.21,3.333333333333144
315.98,309.73,304.22,1015.38,18.86,18.333333333333712
314.74,331.4,304.73,522.2,22.08,13.333333333332575
316.06,308.54,303.66,1002.49,0.31,10.00000000000038
315.49,330.57,304.3,618.9,24.3,19.99999999999981
315.45,315.7,304.14,1031.5,1.3,5.00000000000019
315.58,344.28,303.65,731.72,19.01,21.666666666666856
314.99,312.92,305.39,863.88,15.79,-1.6666666666670458
316.65,305.46,304.06,722.05,12.34,23.333333333333904
315.85,315.57,303.45,834.87,0.77,3.333333333333144
316.37,310.26,304.32,857.44,23.0,16.666666666666668
315.39,294.91,304.63,763.96,0.15,1.6666666666660983
316.29,312.41,303.77,831.65,0.08,26.666666666667048
315.48,289.7,304.79,725.27,17.09,1.6666666666670458
316.37,310.18,303.86,828.42,14.11,23.33333333333296
316.96,306.11,304.17,773.63,0.31,0.0
316.58,309.44,303.68,883.22,25.99,23.33333333333296
315.81,280.83,304.66,709.16,27.75,-1.6666666666660983
316.66,307.88,303.56,931.58,0.77,28.333333333333144
316.1,277.64,304.49,676.92,7.44,-1.6666666666670458
316.85,307.71,303.71,867.11,23.77,30.000000000000192
315.17,300.44,305.72,783.3,0.23,-1.6666666666660983
316.7,308.06,303.6,979.93,0.31,23.33333333333296
315.83,325.84,304.1,680.15,23.07,14.999999999999622
315.8,318.73,304.41,1105.64,0.0,3.3333333333340915
315.87,350.82,304.2,622.12,32.5,4.999999999999242
315.69,316.38,304.12,1089.52,-0.23,25.0
315.85,350.65,303.82,683.37,18.4,20.00000000000076
315.76,317.76,303.89,1160.44,0.38,3.333333333333144
316.26,357.87,303.93,557.66,33.73,28.333333333333144
315.76,314.89,304.2,1025.05,0.08,0.0
316.22,337.52,304.32,757.51,14.26,21.666666666666856
315.2,305.76,303.93,715.6,18.02,1.6666666666660983
317.0,303.54,303.76,909.01,7.59,20.00000000000076
316.47,271.49,304.14,560.88,11.96,9.999999999999432
316.05,319.28,304.09,896.12,16.33,15.000000000000568
316.38,346.31,303.88,586.67,0.31,11.666666666666478
316.04,317.84,304.14,1028.28,0.23,11.666666666666478
315.8,352.83,303.81,496.41,31.81,23.33333333333296
316.24,311.45,304.19,915.46,-0.08,3.3333333333340915
316.02,340.58,304.13,596.34,10.43,0.0
315.84,315.91,304.25,992.82,17.94,21.66666666666591
316.51,341.71,304.24,564.1,26.29,3.3333333333340915
316.35,316.31,303.88,1021.83,0.23,21.66666666666591
316.23,337.04,304.63,515.75,30.28,16.666666666666668
316.37,313.42,304.29,1150.77,1.15,10.00000000000038
315.93,344.09,304.18,554.43,1.69,10.00000000000038
316.13,318.37,304.42,973.48,0.23,14.999999999999622
316.23,347.52,303.92,551.21,27.29,14.999999999999622
316.35,317.55,304.14,1012.16,0.31,10.00000000000038
316.24,353.03,304.26,560.88,17.33,23.33333333333296
316.45,315.37,304.35,954.14,12.11,3.3333333333340915
316.42,350.03,303.96,593.11,25.99,16.666666666666668
316.31,316.05,304.13,1089.52,0.23,3.333333333333144
316.49,328.12,304.61,586.67,29.44,26.6666666666661
316.34,312.93,304.36,1073.41,0.23,-1.6666666666660983
316.32,329.39,304.77,618.9,9.58,3.333333333333144
316.66,310.51,304.23,1083.08,0.38,21.666666666666856
316.37,319.51,304.72,757.51,24.68,8.333333333333334
316.51,297.23,303.69,1095.97,0.38,13.333333333333524
317.38,309.1,304.55,705.93,31.12,25.0
315.63,299.36,305.6,1099.19,-0.23,0.0
317.62,305.17,304.15,783.3,6.13,25.0
317.24,268.55,304.21,1050.84,5.14,-1.6666666666670458
317.51,307.99,304.35,792.97,23.15,23.33333333333296
317.63,267.93,304.45,947.69,0.31,0.0
317.38,308.72,304.48,812.31,29.59,25.0
317.37,272.12,303.65,1008.94,16.71,0.0
317.54,304.35,303.86,789.74,10.04,21.666666666666856
317.42,265.34,303.36,979.93,1.0,3.333333333333144
317.44,306.49,304.22,834.87,25.99,23.333333333333904
317.71,288.39,303.84,773.63,0.38,11.666666666666478
317.4,311.45,304.28,867.11,-0.23,16.666666666666668
317.03,281.22,304.12,773.63,13.42,0.0
317.27,309.55,304.57,921.9,13.18,21.666666666666856
317.67,309.15,304.2,676.92,0.92,0.0
317.1,312.96,304.52,1018.61,26.06,25.0
316.71,337.63,304.42,567.33,28.75,5.00000000000019
317.02,315.25,304.31,905.79,0.23,18.333333333332767
316.6,343.84,304.6,641.47,23.3,13.333333333333524
316.64,317.48,304.28,1092.75,2.91,11.666666666666478
316.93,338.64,304.7,631.79,10.66,21.666666666666856
316.98,313.47,304.47,1083.08,0.38,5.00000000000019
316.86,332.81,304.95,599.56,29.05,23.33333333333296
317.11,310.63,304.53,1060.51,0.15,-1.6666666666660983
316.55,324.38,304.91,725.27,23.92,26.6666666666661
317.09,310.09,304.42,1166.89,2.53,-3.333333333333144
317.19,316.72,304.86,622.12,19.47,26.666666666667048
317.28,310.04,304.47,1083.08,0.31,0.0
317.04,316.82,304.64,673.7,27.75,14.999999999999622
317.25,307.87,304.24,1157.22,0.15,8.333333333333334
317.27,319.01,304.51,744.62,23.53,21.666666666666856
317.59,306.15,304.3,1150.77,6.75,1.6666666666660983
317.31,314.68,304.73,863.88,21.62,23.333333333333904
318.07,306.79,303.24,1099.19,0.31,0.0
317.63,311.5,304.87,751.06,28.13,26.6666666666661
316.84,292.03,306.31,1015.38,0.15,0.0
317.78,310.04,304.44,776.85,2.07,21.666666666666856
317.34,277.52,305.21,902.56,7.97,0.0
317.81,307.41,304.38,809.08,17.63,26.666666666667048
317.59,283.56,304.13,641.47,0.77,1.6666666666660983
317.73,312.44,304.68,857.44,29.28,23.333333333333904
317.62,287.26,304.41,747.84,23.0,8.333333333333334
317.75,310.76,304.59,1034.73,0.61,13.333333333333524
316.97,337.3,304.61,615.68,26.07,25.0
317.81,305.09,304.37,1147.55,0.77,-5.00000000000019
317.45,321.11,304.7,789.74,2.76,23.33333333333296
316.55,299.37,303.83,1037.95,13.8,1.6666666666670458
318.01,311.48,304.67,699.49,14.41,23.33333333333296
317.45,274.14,303.97,773.63,4.75,1.6666666666670458
318.26,307.83,304.88,905.79,22.61,23.33333333333296
318.18,295.6,303.82,0.0,28.9,-1.6666666666660983
317.8,311.05,304.52,870.33,0.15,26.6666666666661
318.25,313.34,304.02,631.79,24.15,0.0
317.29,317.75,304.39,992.82,1.53,18.33333333333324
317.61,325.49,304.98,493.19,22.54,26.666666666667048
317.7,309.19,304.52,1008.94,2.99,1.666666666666572
317.35,321.4,304.9,718.83,22.84,25.0
317.83,305.29,304.58,1095.97,0.31,-3.3333333333336177
317.96,315.56,304.83,699.49,28.06,28.33333333333362
318.55,281.35,304.35,1054.07,0.15,-1.666666666666572
318.28,310.68,304.53,741.39,0.92,25.0
318.25,270.47,304.06,992.82,15.79,0.0
318.32,306.49,304.89,760.73,11.5,21.666666666666384
317.6,280.08,304.9,886.45,1.3,0.0
318.1,309.13,304.75,825.2,26.06,26.66666666666657
318.09,325.91,304.6,657.58,26.91,-1.666666666666572
318.02,315.28,304.67,915.46,0.23,23.333333333333428
317.49,343.84,304.54,583.44,25.15,1.666666666666572
317.49,317.75,304.45,1044.4,0.38,16.666666666666668
318.03,325.25,305.28,560.88,20.16,0.0
317.66,312.24,304.74,1083.08,6.82,21.666666666666856
318.0,315.6,304.84,618.9,22.16,25.0
317.92,308.58,304.65,1392.53,0.31,4.999999999999716
317.95,318.07,305.01,377.14,26.83,23.333333333333428
318.13,306.07,304.61,1137.88,0.23,0.0
317.94,314.48,305.08,725.27,1.84,25.0
317.26,291.96,305.74,1112.09,10.96,-1.666666666666572
318.29,311.23,304.9,683.37,19.32,26.66666666666657
317.36,287.61,305.71,1095.97,0.31,0.0
318.35,305.92,304.76,783.3,26.14,21.666666666666856
318.02,319.26,304.78,696.26,24.99,8.333333333333334
318.12,317.31,305.05,992.82,0.38,11.666666666666478
317.65,347.44,304.79,535.09,27.21,23.333333333333428
318.02,314.25,304.82,1099.19,0.31,1.666666666666572
317.93,316.73,304.98,612.45,26.75,26.66666666666657
317.77,309.82,304.66,1092.75,11.04,-1.666666666666572
318.34,315.13,305.01,699.49,14.95,18.33333333333324
318.66,281.96,304.51,989.6,3.45,5.00000000000019
318.52,309.19,304.81,747.84,23.0,23.333333333333428
318.64,294.53,304.44,660.81,0.46,-3.3333333333336177
318.37,313.36,304.87,950.92,0.31,26.666666666667048
318.74,323.48,304.28,644.69,25.53,0.0
317.97,316.13,304.86,1021.83,0.0,19.99999999999981
318.37,340.99,304.89,612.45,25.37,19.99999999999981
318.15,307.1,304.81,1121.76,0.23,0.0
318.41,314.92,305.28,699.49,1.38,28.33333333333362
318.76,312.55,303.94,1095.97,10.5,-1.666666666666572
318.16,313.82,304.99,741.39,16.33,21.666666666666384
318.05,343.46,304.94,693.04,8.43,11.666666666666952
318.05,309.49,304.98,925.13,18.55,14.999999999999622
318.43,319.12,304.81,599.56,25.83,18.333333333333712
319.31,288.04,304.64,1050.84,0.46,3.333333333333144
318.83,310.7,304.85,622.12,24.69,6.666666666666762
318.32,295.67,304.43,1105.64,0.23,11.666666666666478
318.51,312.36,305.08,686.59,28.67,26.66666666666657
319.08,315.94,304.45,1073.41,23.77,0.0
318.1,314.97,305.03,783.3,2.53,23.333333333333428
318.13,343.86,304.87,757.51,14.26,-1.666666666666572
318.16,314.69,304.88,815.53,14.8,26.66666666666657
318.08,346.84,304.94,693.04,0.38,-1.666666666666572
318.8,312.43,305.24,986.37,1.38,19.99999999999981
318.67,306.81,305.11,557.66,25.91,20.000000000000284
317.44,283.2,305.28,1037.95,0.23,3.333333333333144
318.83,306.49,305.01,780.07,23.53,20.000000000000284
317.94,325.7,304.46,699.49,1.23,4.999999999999716
319.3,285.58,305.57,1005.71,8.28,13.333333333333524
318.78,307.69,305.11,599.56,16.48,19.99999999999981
318.24,298.48,303.96,1044.4,1.3,1.666666666666572
319.0,310.55,305.78,809.08,24.07,20.000000000000284
317.75,337.5,304.68,667.25,5.75,15.000000000000096
318.67,305.77,305.26,992.82,0.38,3.333333333333144
318.76,317.69,304.79,499.63,29.28,6.666666666666762
318.02,307.91,304.84,1008.94,0.23,19.99999999999981
319.16,316.48,305.21,618.9,25.22,5.00000000000019
318.21,306.69,304.62,954.14,0.61,16.666666666666668
319.29,320.58,304.75,780.07,1.69,21.666666666666384
318.07,342.84,305.32,734.95,25.99,0.0
318.73,319.4,304.76,767.18,3.76,25.0
318.41,347.73,305.14,751.06,3.3,0.0
318.12,318.73,304.39,889.67,23.38,25.0
319.05,320.7,305.74,580.22,23.07,13.333333333333524
319.04,308.46,304.16,999.27,0.46,8.333333333333334
318.84,312.17,305.32,664.03,27.06,23.333333333333428
319.69,268.26,304.85,1131.43,0.23,-1.666666666666572
318.65,311.54,305.02,664.03,27.75,23.33333333333296
319.21,303.25,304.79,963.81,24.53,1.6666666666670458
318.51,315.99,305.03,763.96,3.37,23.33333333333296
318.74,328.02,305.07,825.2,10.58,-1.666666666666572
318.74,317.99,304.89,792.97,17.94,25.0
317.99,350.43,305.54,699.49,0.46,-1.666666666666572
318.99,316.86,304.93,860.66,0.31,23.333333333333428
318.36,331.52,305.65,541.54,27.75,6.666666666666762
318.74,309.29,305.33,1095.97,0.31,19.99999999999981
318.94,315.34,305.07,589.89,25.84,15.000000000000096
317.94,296.52,306.68,1089.52,0.15,3.333333333333144
319.12,309.83,305.3,644.69,6.67,25.0
319.1,278.07,304.66,1034.73,6.82,0.0
319.05,311.65,305.58,689.82,18.4,25.0
318.83,304.82,304.11,957.36,0.46,-1.666666666666572
318.91,313.77,305.29,815.53,25.14,23.333333333333428
318.78,346.83,305.34,670.48,26.6,8.333333333333334
318.72,314.52,305.11,912.23,0.38,13.33333333333305
318.59,332.07,306.0,560.88,26.6,21.666666666666856
318.6,309.71,305.43,979.93,0.31,-1.666666666666572
319.02,316.41,305.2,557.66,19.47,9.999999999999906
317.74,290.89,304.49,1083.08,10.89,13.333333333333524
319.01,310.13,305.59,628.57,16.02,19.99999999999981
319.67,272.53,305.38,1073.41,1.0,3.333333333333144
318.96,308.52,305.45,783.3,24.07,21.666666666666856
318.79,337.68,305.16,670.48,1.38,1.666666666666572
319.0,313.68,305.41,915.46,0.38,21.666666666666856
318.86,334.06,305.48,638.24,24.61,9.999999999999906
319.71,280.39,305.63,999.27,0.54,11.666666666666478
319.23,307.28,305.83,686.59,22.77,20.000000000000284
318.86,310.06,303.64,886.45,0.38,-1.666666666666572
319.43,313.02,305.71,757.51,0.15,26.66666666666657
318.82,329.14,305.45,728.5,25.91,1.666666666666572
319.3,318.32,304.85,867.11,2.99,21.666666666666856
318.51,349.46,305.83,570.55,11.5,16.666666666666668
319.6,313.56,305.81,1015.38,13.88,4.999999999999716
319.26,305.93,305.68,667.25,8.59,20.000000000000284
319.88,264.33,304.42,1083.08,9.58,0.0
319.55,309.24,305.75,715.6,19.62,26.66666666666657
319.43,272.02,304.74,1070.18,0.31,0.0
319.12,308.51,305.6,767.18,25.84,1.666666666666572
319.19,334.67,305.37,596.34,24.99,36.66666666666648
318.71,310.17,305.45,963.81,0.31,6.666666666666762
319.66,318.61,305.32,531.87,26.45,23.333333333333428
318.85,308.4,305.38,1037.95,0.38,-1.666666666666572
319.56,312.65,305.6,609.23,1.53,18.33333333333324
318.23,278.14,305.25,1112.09,17.79,6.666666666666762
319.24,307.53,305.84,628.57,10.43,23.333333333333428
320.46,270.57,305.49,1021.83,2.53,-1.6666666666670458
319.0,307.28,305.61,731.72,24.0,23.333333333333428
319.71,319.37,305.53,815.53,26.68,0.0
319.26,315.38,305.5,883.22,0.23,23.333333333333428
319.02,348.43,305.17,522.2,27.21,15.000000000000096
319.39,312.89,305.59,970.26,0.31,11.666666666666478
319.07,321.99,305.6,448.06,26.83,21.666666666666856
319.01,310.0,305.7,986.37,9.66,1.666666666666572
319.63,318.46,305.64,635.02,15.26,21.666666666666856
320.06,275.34,306.24,996.04,9.58,-3.3333333333336177
319.25,310.31,305.84,699.49,16.41,21.666666666666856
319.94,287.52,304.57,831.65,0.69,0.0
319.54,310.67,305.9,831.65,0.15,23.333333333333428
319.48,334.2,305.24,651.14,27.14,0.0
319.42,314.89,305.43,909.01,0.31,23.33333333333296
319.34,346.08,305.35,528.64,24.91,1.6666666666670458
319.19,314.12,305.5,979.93,0.84,19.99999999999981
319.16,319.35,305.86,535.09,8.66,19.99999999999981
319.19,310.53,305.79,1073.41,3.91,5.00000000000019
319.54,314.67,305.71,631.79,21.62,21.666666666666856
320.17,269.46,305.5,1141.1,3.07,0.0
319.6,311.6,305.75,751.06,24.3,23.33333333333296
319.89,289.25,305.08,789.74,24.84,5.00000000000019
